id,movieId,title,genres
0,296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
1,110,Braveheart (1995),Action|Drama|War
2,2571,"Matrix, The (1999)",Action|Sci-Fi|Thriller
3,318,"Shawshank Redemption, The (1994)",Crime|Drama
4,356,Forrest Gump (1994),Comedy|Drama|Romance|War
5,541,Blade Runner (1982),Action|Sci-Fi|Thriller
6,4027,"O Brother, Where Art Thou? (2000)",Adventure|Comedy|Crime
7,1210,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Sci-Fi
8,260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
9,34,Babe (1995),Children|Drama
10,858,"Godfather, The (1972)",Crime|Drama
11,608,Fargo (1996),Comedy|Crime|Drama|Thriller
12,7153,"Lord of the Rings: The Return of the King, The (2003)",Action|Adventure|Drama|Fantasy
13,33794,Batman Begins (2005),Action|Crime|IMAX
14,2028,Saving Private Ryan (1998),Action|Drama|War
15,2959,Fight Club (1999),Action|Crime|Drama|Thriller
16,4306,Shrek (2001),Adventure|Animation|Children|Comedy|Fantasy|Romance
17,1584,Contact (1997),Drama|Sci-Fi
18,7438,Kill Bill: Vol. 2 (2004),Action|Drama|Thriller
19,4226,Memento (2000),Mystery|Thriller
19,4226, Danny, New York

19,4226, Danny, New York

19,4226, Danny, New York

19,4226, Danny, New York

19,4226, Danny, New York

19,4226, Danny, New York

19,4226, Danny, New York

19,4226, Danny, New York

19,4226, Danny, New York
