userId,movieId,rating,tmdbId
614,1,3.5,862
614,162414,4.5,376867
614,1573,4,754
614,1,3,862
615,162414,4.5,376867
615,95449,3.5,77930
615,89745,4,24428
615,106100,3.5,152532
616,162414,4,376867
616,5816,3.5,672
616,106100,3.5,152532
617,5816,3.5,672
617,1,3.5,862
618,89745,4,24428
618,4896,4,671
618,106100,3.5,152532
618,5816,4,672
618,140816,3.5,308084
619,140816,3.5,308084
620,188751,3.5,458423
620,95449,3.5,77930
620,4896,4,671
620,2908,3,226
621,4896,4,671
621,141749,3,306819
621,5816,3.5,672
621,188751,3.5,458423
622,89745,4,24428
623,106100,4,152532
623,2908,3,226
623,2081,4,10144
623,162414,5,376867
623,140816,3.5,308084
624,140816,3.5,308084
624,4896,4,671
624,188751,4.5,458423
625,141749,3.5,306819
625,140816,3.5,308084
626,140816,3.5,308084
626,527,3.5,424
626,141749,4,306819
626,184997,3.5,449176
626,5816,3.5,672
626,106100,4,152532
627,140816,4,308084
627,90343,3.5,68817
627,27722,4,11606
627,188751,4.5,458423
627,141749,4,306819
627,162414,4,376867
627,2081,4,10144
627,4896,4,671
627,184997,4,449176
628,95449,3.5,77930
628,140816,4.5,308084
628,141749,4,306819
628,114028,3.5,234200
628,2908,3,226
629,106100,4.5,152532
629,5816,3.5,672
629,4896,4,671
629,90343,3,68817
629,89745,4,24428
630,184997,4,449176
630,95449,3.5,77930
630,2081,4,10144
630,114028,4,234200
631,527,4,424
631,95449,3.5,77930
631,187595,3.5,348350
631,184997,4,449176
631,162414,5,376867
631,114028,4,234200
631,188751,4.5,458423
632,187595,3,348350
632,27722,4,11606
632,3210,4,13342
632,1089,4.5,500
